scheme	status	bytes	url
pmay-u	http 404		http://mohua.gov.in/upload/uploadfiles/files/PPP%20Models%20for%20Affordable%20Housing.pdf
pmay-u	pdf	21979247	http://habitat3.org/wp-content/uploads/Habitat-III_India-National-Report.pdf
pmay-u	not a pdf: text/html; charset=utf-8		https://cpwd.gov.in/Publication/Innovative%20Technologies%20.pdf
pmay-u	unreachable: ConnectTimeout		https://ghtc-india.gov.in/Content/pdf/Climatic_Zones_India.pdf
pmay-u	pdf	433839	https://pmay-urban.gov.in/ARH-EOI.pdf
pmay-u	http 404		https://pmay-urban.gov.in/uploads/notice/Letter_17August2022.pdf
pmay-u	unreachable: ConnectTimeout		https://ghtc-india.gov.in/IHTM/Content/pdf/Compendium_IHTM.pdf
pmay-u	pdf	23812889	https://pmay-urban.gov.in/storage/pdf/Proceedings-of-Awas-Par-Samvaad.pdf
pmay-u	pdf	13020984	https://pmay-urban.gov.in/storage/pdf/Reform-Booklet.pdf
pmay-u	pdf	346750	https://pmay-urban.gov.in/storage/pdf/Disclaimer.pdf
ujjwala	pdf	341745	https://www.pmuy.gov.in/documents/Brief%20on%20Insurance%20Policy%20for%20LPG.pdf
ujjwala	pdf	458536	https://www.pmuy.gov.in/documents/KYC.pdf
ujjwala	pdf	570746	https://www.pmuy.gov.in/documents/unified_form-DBTL.pdf
ujjwala	pdf	1073707	https://www.pmuy.gov.in/documents/Form5_GiveUpLPG_Eng.pdf
ujjwala	pdf	674330	https://www.pmuy.gov.in/documents/Form6_Grievance_Redressal_Eng.pdf
ujjwala	pdf	44183	https://www.pmuy.gov.in/documents/Unified_Form_for_transfer.pdf
ujjwala	pdf	33847	https://www.pmuy.gov.in/documents/Declaration_for_the_loss_Subscribtion.pdf
ujjwala	pdf	46167	https://www.pmuy.gov.in/documents/Declaration_for_new_connection.pdf
ujjwala	pdf	200392	https://www.pmuy.gov.in/documents/Reactivation_of_LPG.pdf
ujjwala	pdf	419655	https://www.pmuy.gov.in/documents/MANDATE FORM FOR BANK.PDF
ujjwala	pdf	1415144	https://www.pmuy.gov.in/documents/Ujjwala-KYC_englishnew.pdf
ujjwala	pdf	12842567	https://www.pmuy.gov.in/documents/Ujjwala-KYC_hindinew.pdf
ujjwala	pdf	264952	https://www.pmuy.gov.in/documents/Loan%20Undertaking.pdf
ujjwala	pdf	102748	https://www.pmuy.gov.in/documents/Supplementary%20KYC.pdf
ujjwala	pdf	257832	https://www.pmuy.gov.in/documents/Annexure_I_new.pdf
ujjwala	pdf	181293	https://www.pmuy.gov.in/documents/Annexure_I_new_hindi.pdf
ujjwala	pdf	218990	https://www.pmuy.gov.in/documents/Deprivation_Declaration_for_Poor_Households_English.pdf
ujjwala	pdf	374135	https://www.pmuy.gov.in/documents/Deprivation_Declaration_for_Poor_Households_hindi.pdf
ujjwala	pdf	276213	https://www.pmuy.gov.in/documents/Annexure%20II.pdf
ujjwala	pdf	5313387	https://www.pmuy.gov.in/documents/KYC/KYC/Ujjwala KYC Form Assamese.pdf
ujjwala	pdf	5406324	https://www.pmuy.gov.in/documents/KYC/KYC/Ujjwala KYC Form Bengali.pdf
ujjwala	pdf	4223473	https://www.pmuy.gov.in/documents/KYC/KYC/Ujjwala KYC Form Gujarati.pdf
ujjwala	pdf	7539908	https://www.pmuy.gov.in/documents/KYC/KYC/Ujjwala KYC Form Kannada.pdf
ujjwala	pdf	7800200	https://www.pmuy.gov.in/documents/KYC/KYC/Ujjwala KYC Form Malayalam.pdf
ujjwala	pdf	3890264	https://www.pmuy.gov.in/documents/KYC/KYC/Ujjwala KYC Form Marathi.pdf
ujjwala	pdf	6373258	https://www.pmuy.gov.in/documents/KYC/KYC/Ujjwala KYC Form Oriya.pdf
ujjwala	pdf	4424472	https://www.pmuy.gov.in/documents/KYC/KYC/Ujjwala KYC Form Punjabi.pdf
ujjwala	pdf	4207016	https://www.pmuy.gov.in/documents/KYC/KYC/Ujjwala KYC Form Tamil.pdf
ujjwala	pdf	3301711	https://www.pmuy.gov.in/documents/KYC/KYC/Ujjwala KYC Form Telugu.pdf
ujjwala	pdf	1707310	https://www.pmuy.gov.in/documents/KYC/KYC/Ujjwala KYC Form Urdu.pdf
ujjwala	pdf	2678998	https://www.pmuy.gov.in/documents/SelfDeclaration/Self Declaration Migrant Assamese.pdf
ujjwala	pdf	2632731	https://www.pmuy.gov.in/documents/SelfDeclaration/Self declaration Migrant Bangla.pdf
ujjwala	pdf	2608533	https://www.pmuy.gov.in/documents/SelfDeclaration/Self Declaration Gujarati.pdf
ujjwala	pdf	2860233	https://www.pmuy.gov.in/documents/SelfDeclaration/Self Declaration Kannada.pdf
ujjwala	pdf	2599569	https://www.pmuy.gov.in/documents/SelfDeclaration/Self declaration Migrant Marathi.pdf
ujjwala	pdf	2558960	https://www.pmuy.gov.in/documents/SelfDeclaration/Self declaration Migrant Odia.pdf
ujjwala	pdf	2848993	https://www.pmuy.gov.in/documents/SelfDeclaration/Self Declaration Migrant Punjabi.pdf
ujjwala	pdf	3731481	https://www.pmuy.gov.in/documents/SelfDeclaration/Self Declaration Migrant Telugu.pdf
ujjwala	pdf	4486919	https://www.pmuy.gov.in/documents/SelfDeclaration/Self Declaration Migrant Malayalam.pdf
ujjwala	pdf	3099582	https://www.pmuy.gov.in/documents/SelfDeclaration/Self Declaration Migrant Tamil.pdf
ujjwala	pdf	265667	https://www.pmuy.gov.in/documents/depriviationdeclaration/Deprivation Declaration for Poor Households Assamese.pdf
ujjwala	pdf	263052	https://www.pmuy.gov.in/documents/depriviationdeclaration/Deprivation Declaration for Poor Households Bengali.pdf
ujjwala	pdf	213652	https://www.pmuy.gov.in/documents/depriviationdeclaration/Deprivation Declaration for Poor Households Gujarati.pdf
ujjwala	pdf	292446	https://www.pmuy.gov.in/documents/depriviationdeclaration/Deprivation Declaration for Poor Households Kannada.pdf
ujjwala	pdf	248239	https://www.pmuy.gov.in/documents/depriviationdeclaration/Deprivation Declaration for Poor Households Malayalam.pdf
ujjwala	pdf	202467	https://www.pmuy.gov.in/documents/depriviationdeclaration/Deprivation Declaration for Poor Households Marathi.pdf
ujjwala	pdf	252101	https://www.pmuy.gov.in/documents/depriviationdeclaration/Deprivation Declaration for Poor Households Odiya.pdf
ujjwala	pdf	190887	https://www.pmuy.gov.in/documents/depriviationdeclaration/Deprivation Declaration for Poor Households Punjabi.pdf
ujjwala	pdf	282683	https://www.pmuy.gov.in/documents/depriviationdeclaration/Deprivation Declaration for Poor Households Tamil.pdf
ujjwala	pdf	310202	https://www.pmuy.gov.in/documents/depriviationdeclaration/Deprivation Declaration for Poor Households Telugu.pdf
ujjwala	pdf	290805	https://www.pmuy.gov.in/documents/depriviationdeclaration/Deprivation Declaration for Poor Households Urdu.pdf
